id,name,birth_date,death_date,city
Q42,Douglas Adams,1952,2001,Cambridge | Cambridge | Cantabrigia | കേംബ്രിഡ്ജ് | Cambridge | Cambridge | كامبريدج | كامبريدج | Cambridge | Кембридж | Cambridge | Cambridge | Cambridge | Cambridge | کمبریج | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | ケンブリッジ | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Кембридж | Cambridge | Cambridge | Кембриџ | เคมบริดจ์ | Cambridge | Кембридж | کیمبرج | Cambridge | Cambridge | Cambridge | 劍橋 | Cambridge | Cambridge | Cambridge | کمبریج، اونتاریو | Cambridge | Кембрыдж | Cambridge | Cambridge | Cambridge | Cambridge | Κέιμπριτζ | Cambridge | Cambridge | Kembriĝo | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | કેમ્બ્રિજ | קיימברידג' | कैम्ब्रिज | Cambridge | Քեմբրիջ | Cambridge | Cambridge | Cambridge | Cambridge | ಕೇಂಬ್ರಿಜ್ | 케임브리지 | Cambridge | Cambridge | Cambridge | Kembridžas | Kembridža | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | کیمبرج | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | කේම්බ්රිජ් | Cambridge | Cambridge | Cambridge | கேம்பிரிட்ஜ் | కేంబ్రిడ్జ్ | Cambridge | Cambridge | Cambridge | 剑桥 | 劍橋 | 劍橋 | Kembric | Кембрыдж | 剑桥 | کمبریج | Caergrawnt | קעמברידזש | ኬምብሪጅ | Grantanbrycg | কেমব্ৰিজ | Cambridge | Кеймбридж | ক্যামব্রিজ | Cambridge | Cambridge (kapital sa kondado sa Hiniusang Gingharian) | کامبریدج | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Kiam-khiâu | Cambridge | Քեմպրիճ | Cambridge | კემბრიჯი | Kambriǧ | کیمبرِج | Kergront | Cambridge | Кембриџ | Кембриж | ꯀꯦꯝꯕ꯭ꯔꯤꯖ | केंब्रिज | Cambridge | ကိန်းဘရစ်ချ်မြို့ | Cambridge (Eng-lân) | क्याम्ब्रिज | Cambridge | ߞߊ߲ߓߙߌߖ | Кембридж | ਕੈਮਬ੍ਰਿਜ | Cambridge | Cambridge | Kėmbrėdžos | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Cambridge | Kembrixh | Кембриҷ | Cambridge | ma tomo Kenpisi | Кембриҗ | Кембриҗ | Kambrij | Kembrij | Kembridž | 剑桥 | 劍橋 | Cambridge | 劍橋 | 剑桥 | 剑桥 | 劍橋
Q619,Nicolaus Copernicus,1473,1543,Toruń | Thorn | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruń | Toruň | Thorn | تورون | تورون | Torun | トルン | Torun | Torun | Torun | 托伦 | 托倫 | ترونی | Торунь | Торунь | Торун | তোরান | Торунь | تۆرون | Torun | Torń | Τόρουν | Torún | ترونی | ટોરન | טורון | टोरून | Թորուն | ტორუნი | ಟೂರನ್ | 토룬 | Торунь | Thorunium | Torunė | Toruņa | Торунь | Торуњ | टूरन | Торунь | تورون | Торунь | ටොරුන් | Toruň | Torunj | Торуњ | Torůń | டொறுந் | టోరున్ | Торун | ตอรุญ | ma tomo Tolun | Торунь | Торунь | Торунь | تورینی | Torun' | 托伦 | ტორუნი | טויערן | 托倫 | 托伦
Q632,Jean Moulin,1899,1943,Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | 貝濟耶 | 貝濟耶 | Béziers | Безье | Безьє | Besers | بيزييه | بيزييه | Béziers | بزیه | Безье | Безье | Безие | Béziers | বেজিয়ে | Besièrs | Besiers | Безье | Béziers | Béziers | Безье | Μπεζιέ | بزیه | Béziers | Béziers | Béziers | Béziers | בזייה | Բեզյե | Béziers | Béziers | ベジエ | Béziers | Béziers | Béziers | Безье | Béziers | 베지에 | Béziers | Baeterrae | Béziers | Béziers | Béziers | Béziers | Bezjė | Bēzjē | Béziers | Безје | بزیه | Béziers | Béziers | Béziers | Béziers | Besièrs | Béziers | Béziers | Μπεζιέ | Béziers | Béziers | Béziers | Béziers | Béziers | Bezjeri | Безје | Безје | Bezje | Béziers | Безье | Béziers | Béziers | Béziers | Béziers | Béziers | 贝济耶 | 貝濟耶 | 贝济耶 | 贝济耶 | 貝濟耶 | 贝济耶 | Бэзье | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers | Béziers
Q692,William Shakespeare,1564,1616,സ്ട്രേറ്റ്ഫോഡ് അപോൺ എയ്വൻ | ستراتفورد | استراتفورد | ستراتفورد | Стратфорд-Эйвоныл | Strætford on Wæringscīr | Stratford-apon-Eyvon | Стратфард-он-Эйван | Стратфорд на Ейвън | স্ট্রাটফোর্ড-আপন-অ্যাভন | Стратфорд-Эйвонехь | Stratford-apon-Eyvon | Stratford nad Avonou | Stratford-upon-Avon | Stratford-upon-Avon | Stratford-upon-Avon | Στράτφορντ-απόν-Έιβον | Stratford-upon-Avon | Stratford-upon-Avon | સ્ટ્રાટફોર્ડ-અપોન-એવોન | סטרטפורד על נהר אייבון | Ստրատֆորդ ըփոն Էյվոն | ストラトフォード＝アポン＝エイヴォン | ეივონის სტრატფორდი | ಸ್ಟ್ರಾಟ್ಫೋರ್ಡ್-ಆಪಾನ್-ಏವನ್ | 스트랫퍼드어폰에이번 | Stratfordia super Avonam | Stratfordas prie Eivono | Stretforda pie Eivonas | Стратфорд на Ејвон | Stratford-upon-Avon | စထရက်ဖို့အက်ပွန်းဧဗွန်မြို့ | ਸਟ੍ਰੈਟਫ਼ੋਰਡ-ਅਪੌਨ-ਏਵਨ | Стратфорд-апон-Эйвон | Стратфорд на Ејвону | Стратфорд на Ејвону | Stratford na Ejvonu | ஸ்ட்ராட்டபோர்ட-அபோன்-அவோன் | స్టార్ట్ ఫోర్డ్-అప్ ఆన్-ఏవన్ | Стратфорд-апон-Эйвон | สแตรตเฟิร์ด-อะพอน-เอวอน | ma Stratford-upon-Avon | Стратфорд-апон-Эйвон | Стратфорд-апон-Ейвон | اسٹراٹفورڈ آپون آؤون | 埃文河畔斯特拉特福 | 史特拉福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福 | 埃文河畔斯特拉特福
Q409,Bob Marley,1945,1981,Nine Mile | ناين مايل | Nine Mile | Найн Майл | Nine Mile | Nine Mile | Nine Mile | Nine Mile | Νάιν Μάιλ | Nine Mile | Nine Mile | Nine Mile | Nine Mile | Nine Mile | Nine Mile | Nine Mile | ניין מייל | Նայն Մայլ | Nine Mile | ナイン・マイル | Nain Mail | ნაინ მაილი | Nine Mile | Nine Miles | Nine Miles | Nine Mile | Nine Mile | Найн-Майл | Nine Mile | 九英里镇 | 九英里镇 | 九英里镇 | Nayn-Mayl
Q255,Ludwig van Beethoven,1770,1827,Bonn | Bonn | বন | Bonn | بون | Bonn | Bonn | Bonn | Bonn | 본 | Boni | Bona | בון | Bonn | Bona | Bonn | ボン | Bonn | Бонн | Бон | Бонн | Бонн | Бон | Бон | Бон | பான் | بون | Bonn | بون | Bonno | Bonn | Bonn | بن | Бонн | Bonna | 波恩 | Bonna | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | Bonn | 波恩 | Bonn | ബോൺ | ቦን | Bonceaster | بون (المانيا) | Бонн | བྷོ་ཨིན། | بۆن، ئەڵمانیا | Бонн | Βόννη | Bonn | بؤن | 𐌱𐌰𐌿𐌽𐌽 | બોન | बॉन | Բոնն | ბონი | Бонн | ಬಾನ್ನ್ | Бонн | Bonn | Бонн | Бон | Бонн | बॉन | बोन | Бонн | ਬੌਨ | بون | بون | Bonn | බොන | Бонн | Bonn | Bonn | Bonn | బొన్ | Бонн | บ็อน | Бонн | 波恩 | באן | 波恩 | 波恩 | 波昂
Q1340,Antonio Vivaldi,1678,1741,Venecia | Venezia | Venedig | ונציה | Benátky | Venise | Venedig | Venice | വെനീസ് | Venedig | ヴェネツィア | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Fenis | Venedig | Venedik | Venêzia | Venecio | Venécia | Venesia | Vènisa | Venedig | Vignesie | Feneesje | An Veinéis | Venésia | Ἐνετία | Venedig | Yn Veneesh | Vî-nì-sṳ̂ | Վենետիկ | Venetia | Venesia | Feneyjar | Venesia | Vinetsiya | Vinisya | Feeniizi | Venesia | 베네치아 | Benesya | Venedîk | Wênîs | Венеция | Венеция | Venetiae | Venedeg | Venies | Venessia | Unieja | Venèzia | ເວນີສ | 威尼斯 | भेनिस | Вэнэция | Венеций | Wēneti | Венец | ꯚꯦꯅꯤꯁ | व्हेनिस | Venezja | ဗင်းနစ်မြို့ | Венеция ош | ونیز | Venies | भेनिस | V'nise | Venècia | Венеци | ਵੈਨਿਸ | Venise | Venessia | وېنيس | Vnescha | Венеція | वेनिस | Венеция | Vinezzia | Venetsia | Benetke | Venetsia | Venetsia | Венеција | Vénésia | Wynecyjo | Wi-nis 威尼斯 | வெனிசு | Венетсия | Venetsiya | ma tomo Wenesija | Venedik | Венеция | Венеция | Wénitsiye | Venesiya | Venecii | Venetië | 威尼斯 | IVenice | ვენეცია | ווענעציע | Venetië | Venice | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Venezia | Veneza | Veneza | Benátky | Wenecja | Venetsia | Венеция | Venècia | Венеция | ვენეცია | Венеция | Венеция | Velence | Венеція | 威尼斯 | 威尼斯 | 威尼斯 | Venetië | Вэнэцыя | Venice | Venice | Venice | Venice | Venice | Venice | Veneetsia | Venecija | Venecija | Венецыя | Венеция | Венеци | Վենետիկ | Венеција | Venecija | Venesya | වැනීසිය | Venecia | เวนิส | 威尼斯 | Venecia | Venecia | Venecia | Βενετία | Venèsia | وینس | Venecia | Venis | Veneția | ونیز | Venēcija | ভেনিস | વેનિસ | वेनिस | ವೆನಿಸ್ | भेनिस | వెనిస్ | 威尼斯 | 威尼斯 | 威尼斯 | 威尼斯 | 威尼斯 | 威尼斯 | وینس | Уанаҿа | Venesië | ቬኒስ | Venetia | البندقية | ڤينيزيا | فينيسيا | Venesiya | ونیز | Vénesia | Venedig | ཝེ་ནེ་ཟི་ཡ། | Venecija | ڤێنیز | Venedik | Venedik | Wenecjô | Венеци
Q1511,Richard Wagner,1813,1883,Leipzig | Lipsk | Leipzig | Leipzig | Leypsiq | Лейпцыг | Ляйпцыг | Լայպցիգ | Лајпциг | Лейпциг | Leipzig | ላይፕጽግ | Leipzig | لايبزيغ | لايبتزج | Leipzig | لایپزیق | Лейпциг | Leipzig | Leipzig | Лайпциг | লাইপ্ৎসিশ | Leipzig | Leipzig | Leipzig | Лейпциг | Leipzig | لایپزیگ | Lipsia | Leyptsig | Leyptsig | Лейпциг | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Lipsk | Λειψία | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | لایپزیگ | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | લેઇપઝિગ | Leipzig | Leipzig | Lipekika | לייפציג | लिपजिग | Leipzig | Lipsk | Լայփցիկ | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | ライプツィヒ | Leipzig | ლაიფციგი | Leipzig | Leipzig | Лейпциг | ಲೈಪ್ಜಿಗ್ | 라이프치히 | 라이프찌히 | Leipzig | Лейпциг | Lipsia | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Lipsia | Leipcigas | Leipciga | 萊比錫 | Лэйпциг | Leipzig | Leipzig | Лайпциг | लाइपझिश | Leipzig | Leipzig | Lipsia | Leipzig | Leipzig | ലീപ്സിഗ് | Leipzig | Leipzig | Lipcse | Лейпциг | Lipsko | Lipsko | လိုက်ပဆစ်မြို့ | لایپتسیش | Leipzig | Leipzig | Lipsia | Leipzig | Leipzig | Leipzig | लेइपजिग | Leipzig | Leipzig | ߟߋߌߔߑߖ߭ߌߜ߭ | Leipzig | Leipzig | Лейпциг | ਲਾਈਪਸਿਸ਼ | Leipzig | Leipzig | Leipzig | Lipsia | لیپزش | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Ліпско | Lipsia | Lipsia | Leipzig | ليپزگ | Leipzig | ලේයිප්සිග් | Leipzig | Lajpcigu | Лајпциг | Лајпциг | Leipzig | Leipzig | Leipzig | Lajpcik | லைப்சிக் | లేఇప్జిగ్ | Лейпзиг | ไลพ์ซิช | Leipzig | Leipzig | Лейпциг | Leipzig | Leipzig | Léypzig | لائپزش | Leipzig | Leipzig | Läipcig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | Leipzig | 莱比锡 | ლაიფციგი | לייפציג | 萊比錫 | 莱比锡 | 莱比锡 | 莱比锡 | 萊比錫 | 萊比錫 | Leipzig
Q937,Albert Einstein,1879,1955,Ulm | ഉൽമ് | Ulm | אולם | Ulm | Ulm | ウルム | Ulm | أولم | Ulm | Ulm | 乌尔姆 | Ульм | Ульм | Ульм | 乌尔姆 | 乌尔姆 | 烏爾姆 | اولم | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ульм | Ulm | Улм | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ουλμ | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | Ulm | اولم | ऊल्म | اولم | Ульм | Ульм | Улм | উল্ম | Ulm (kapital sa distrito) | ئولم | Ульм | Ulma | ઉલ્મ | ऊल्म | Ուլմ | ულმი | Ульм | ಉಲ್ಮ್ | 울름 | Ульм | Ulma | Ulma | اولم | Ulmas | Ulma | Ульм | Улм | उल्म | Ульм | الم | Ulm | Ульм | උයිම් | Ульм | Ulm | Ulm | Ulm | உல்ம் | ఉల్మ్ | Улм | อุล์ม | اولم | 乌尔姆 | אולם | 烏姆
Q1512,Robert Louis Stevenson,1850,1894,Edimburgu | ادینبرو | Edinburgh | Edinburgh | Edinburgh | Edinburgh | Édimbourg | Edinburgh | Edinburc | Edinboarch | Dùn Èideann | Edimburgo | Endimbugo | એડિનબર્ગ | Doon Edin | Edinburgh | Oi-tên-páu | Ekinipāla | एडिनबरा | Edinburgh | Edinburgh | Edinbo | Edinburgh | Էդինբուրգ | Էտինպրա | Edimburgo | Edinburgh | Edinburgh | Edinburgh | Edinburgh | Edinborg | Edinburgh | ედინბურგი | Edinburg | Idinburg | Edinburgh | Эдинбург | Эдинбург | ಎಡಿನ್ಬರ್ಗ್ | 에든버러 | Эдинбург | ایڈِنبرگ | Edinburgh | Karedin | Эдинбург | Edimburgo | Edinburgh | Edinburgh | Edimburgo | Edimbùrgh | ເອແດມບວກ | Edinburgas | Edinburga | Эдинбург | Edinburgh | Эдинбург | Ētinipara | Единбург | Эдинбург | ꯏꯗꯤꯟꯕꯔꯒ | एडिनबरा | Edinburgh | Edinburgu | အက်ဒင်ဗာရာမြို့ | ادینبورگ | Edinburgh | Edinburgh | Edinburgh | Edinburgh | एदिनबरा | Edinburgh | Edimborg | Эдинбург | ਐਡਿਨਬਰਾ | Edimborgh | ایڈنبرا | ایدینبرګ | Edimburgo | Edinburgh | Edinburgh | Единбург | Edinburgh | Edinburgh | Edimburgu | Edinburgh | ايڊنبرا | Edinburgh | Edėnborgs | Edinburgh | එඩින්බරෝ | Edinburgh | Edinburg | Edinburgh | Edinburgh | Edinburgh | Edinburg | Edinburgh | Edinburgh | எடின்பரோ | ఎడిన్బర్గ్ | Edinburgh | Edimburgo | Edinburgh | എഡിൻബറോ | אדינבורו | Edynburg | Edinburgh | Эдинбург | Edinburgh | Dún Éideann | Edimburgum | Эдинбург | Единбург | Эдинбург | Edinburg | Edinburgh | 愛丁堡 | エディンバラ | Edimburgo | Edimburgo | Edinburgh | Edinburg | ኤዲንቦሮ | Edimburgo | Edinburg | إدنبرة | إدينبرا | ادنبره | Edimburgu | Edinburq | ادینبورق | Эдинбург | Edinburgh | Edinburg | Эдынбург | Эдынбург | Èdinbereh | Единбург | एडिनबर्ग | এডিনবরা | Dinedin | Edinburgh | Edimburg | Edinburgh (kapital sa apil sa nasod) | ئێدینبەرە | Edimburgu | Edinburg | Edinburg | Эдинбург | Caeredin | Edinburgh | Edinburgh | Edinburgh | Εδιμβούργο | Edinbûrg | Edinburgh | Edinburgo | Edinburgh | Edinburgo | Эдинбург | เอดินบะระ | Edinburg | Edinburgh | Edinburq | ma tomo Esin | Edinburgh | Эдинбург | Edinburgh | Эдинбург | Idinburg | Единбург | ایڈنبرا | Ebora | Edinburg | Edinburgh | Edinburgh | Edinburgh | Edinburgh | 爱丁堡 | ედინბურგი | עדינבורג | 愛丁堡 | ⵉⴷⵉⵏⴱⵓⵔⴳ | 爱丁堡 | 爱丁堡 | 愛丁堡 | 愛丁堡 | 愛丁堡
